ticker,setup,entry_date,exit_date,entry,exit,qty,days,pnl,pnl_pct,r,reason,m_r6m
LDOS,pullback,2016-01-20,2016-01-21,34.2833,33.2673,29,1,-38.28,-3.83,-0.561,SMA50 이탈,41.6
TAL,pullback,2016-01-21,2016-01-22,7.3701,7.3037,120,1,-15.89,-1.79,-0.23,SMA50 이탈,29.1
ANF,pullback,2016-01-22,2016-01-25,21.8064,20.5333,39,1,-57.08,-6.68,-0.839,SMA50 이탈,26.6
MTN,pullback,2016-01-22,2016-01-27,90.2076,87.4888,10,3,-35.19,-3.88,-0.513,SMA50 이탈,13.3
PLAB,pullback,2016-01-25,2016-01-27,12.13,11.76,83,2,-39.63,-3.92,-0.594,SMA50 이탈,45.7
W,pullback,2016-01-25,2016-02-02,43.96,40.4432,10,6,-38.97,-8.82,-1.108,손절,13.9
EXR,pullback,2016-01-25,2016-02-04,59.1022,57.9975,17,8,-27.74,-2.75,-0.483,SMA50 이탈,25.2
TAL,pullback,2016-01-28,2016-02-05,7.4697,7.5576,111,6,2.26,0.27,0.034,SMA50 이탈,34.8
MKTX,pullback,2016-01-28,2016-02-05,98.3352,95.9939,8,6,-25.73,-3.26,-0.409,SMA50 이탈,11.3
RLI,pullback,2016-02-10,2016-02-11,20.7093,20.4141,46,1,-22.09,-2.31,-0.432,SMA50 이탈,13.4
MCD,pullback,2016-02-16,2016-02-18,91.0445,90.0835,10,2,-17.76,-1.94,-0.338,SMA50 이탈,20.7
NJR,pullback,2016-02-19,2016-02-26,24.485,23.7773,34,5,-31.44,-3.76,-1.024,SMA50 이탈,19.2
CUBE,pullback,2016-02-26,2016-02-29,19.4654,19.2338,41,1,-16.63,-2.07,-0.261,SMA50 이탈,25.1
EGHT,pullback,2016-02-29,2016-03-04,11.54,11.28,69,4,-25.03,-3.13,-0.393,SMA50 이탈,49.3
NJR,pullback,2016-03-04,2016-03-07,24.2019,24.0179,31,1,-12.43,-1.65,-0.467,SMA50 이탈,26.0
CPK,pullback,2016-03-18,2016-03-21,51.2792,49.266,16,1,-39.45,-4.79,-0.601,SMA50 이탈,28.6
BMA,pullback,2016-03-21,2016-03-29,43.6398,41.729,19,5,-43.61,-5.24,-1.201,손절,53.7
META,pullback,2016-02-18,2016-04-11,104.879,108.0412,7,36,15.43,2.09,0.263,SMA50 이탈,12.0
MXL,pullback,2016-03-29,2016-04-19,17.87,16.4404,44,15,-69.7,-8.82,-1.108,손절,46.8
MKTX,pullback,2016-02-16,2016-04-29,99.5354,110.8196,8,52,101.18,12.65,1.588,SMA50 이탈,15.6
ROCK,pullback,2016-04-11,2016-04-29,27.36,26.45,36,14,-41.48,-4.19,-0.711,SMA50 이탈,44.7
PKX,pullback,2016-04-29,2016-05-02,46.9985,44.3458,12,1,-36.76,-6.49,-1.155,손절,27.3
SBSW,pullback,2016-04-29,2016-05-03,10.893,10.5919,76,2,-30.24,-3.64,-0.457,SMA50 이탈,115.4
OLED,pullback,2016-05-03,2016-05-04,55.0188,52.6224,17,1,-48.97,-5.21,-1.202,손절,67.0
CCOI,pullback,2016-04-19,2016-05-05,23.778,22.7377,39,12,-48.73,-5.23,-1.201,손절,32.3
FCFS,pullback,2016-05-04,2016-05-16,40.5066,39.4351,22,8,-31.49,-3.52,-0.709,SMA50 이탈,22.1
AEIS,pullback,2016-05-03,2016-05-17,33.5887,32.8538,11,10,-11.37,-3.06,-0.403,SMA50 이탈,19.5
TAL,pullback,2016-05-17,2016-05-18,9.0466,8.7677,102,1,-36.62,-3.95,-0.884,SMA50 이탈,33.4
SA,pullback,2016-05-17,2016-05-19,13.91,12.39,56,2,-91.75,-11.73,-1.472,갭하락 손절,81.0
BW,pullback,2016-05-18,2016-05-19,217.8,213.0,4,1,-26.95,-3.08,-0.642,SMA50 이탈,28.1
LGND,pullback,2016-05-19,2016-06-01,74.6039,73.4872,10,8,-17.83,-2.38,-0.461,SMA50 이탈,20.6
EDU,pullback,2016-02-17,2016-06-09,30.5125,37.8219,26,79,150.63,18.9,2.373,SMA50 이탈,42.9
BANC,pullback,2016-03-07,2016-06-14,11.7145,15.1406,64,69,137.44,18.25,3.904,SMA50 이탈,25.0
INO,pullback,2016-05-19,2016-06-22,124.08,122.4,6,23,-16.73,-2.24,-0.281,SMA50 이탈,48.6
PRMB,pullback,2016-05-05,2016-06-24,10.678,11.4739,84,35,60.78,6.75,1.701,SMA50 이탈,32.6
MTW,pullback,2016-06-02,2016-06-24,23.08,22.16,34,16,-38.2,-4.85,-0.633,SMA50 이탈,51.0
MTZ,pullback,2016-06-15,2016-06-24,23.14,21.978,20,7,-27.3,-5.87,-1.175,손절,34.3
AR,pullback,2016-06-22,2016-06-24,28.69,27.38,25,2,-39.06,-5.42,-0.741,SMA50 이탈,37.8
WCC,pullback,2016-06-24,2016-06-27,53.8893,51.5855,15,1,-41.68,-5.13,-1.206,손절,36.0
EGO,pullback,2016-06-27,2016-07-20,22.5062,21.3685,31,16,-41.39,-5.91,-0.742,SMA50 이탈,40.1
RYZ,pullback,2016-06-29,2016-07-20,14.0118,12.8909,50,14,21.59,3.07,0.385,손절,236.6
PAAS,pullback,2016-06-09,2016-08-24,13.5525,15.6141,36,53,71.41,14.57,1.829,SMA50 이탈,117.5
AEM,pullback,2016-07-25,2016-08-24,44.2793,43.3211,19,22,10.56,1.25,0.414,SMA50 이탈,98.1
SSRM,pullback,2016-08-24,2016-08-25,13.657,12.2675,69,1,-103.92,-10.98,-2.268,갭하락 손절,151.5
EVH,pullback,2016-08-24,2016-09-07,24.5,23.068,38,9,-62.55,-6.69,-1.149,손절,185.8
QUAD,pullback,2016-06-29,2016-09-09,14.3763,17.4467,4,50,9.31,16.12,2.494,SMA50 이탈,138.4
CENT,pullback,2016-08-26,2016-09-09,20.4777,19.6139,45,9,-46.99,-5.08,-1.209,손절,87.6
CDE,pullback,2016-09-07,2016-09-09,14.8733,13.6834,51,2,-67.24,-8.82,-1.108,손절,220.4
BVN,pullback,2016-09-09,2016-09-16,13.6053,12.697,53,5,-54.41,-7.51,-0.943,SMA50 이탈,165.7
XNCR,pullback,2016-09-09,2016-10-12,21.14,21.33,22,23,30.86,6.61,0.932,SMA50 이탈,76.4
